Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),prev_closing,new_closing_price
01-Apr-2020,8584.1,8588.1,8198.35,8253.8,507509685,21307.3,,
03-Apr-2020,8356.55,8356.55,8055.8,8083.8,697752438,26561.18,8253.8,-169.9999999999991
07-Apr-2020,8446.3,8819.4,8360.95,8792.2,815245226,35206.69,8083.8,708.4000000000005
08-Apr-2020,8688.9,9131.7,8653.9,8748.75,897562690,37641.68,8792.2,-43.45000000000073
09-Apr-2020,8973.05,9128.35,8904.55,9111.9,743036134,32907.82,8748.75,363.14999999999964
13-Apr-2020,9103.95,9112.05,8912.4,8993.85,644468815,26749.06,9111.9,-118.04999999999927
15-Apr-2020,9196.4,9261.2,8874.1,8925.3,880159358,41878.64,8993.85,-68.55000000000109
16-Apr-2020,8851.25,9053.75,8821.9,8992.8,720116479,31318.29,8925.3,67.5
17-Apr-2020,9323.45,9324.0,9091.35,9266.75,684910520,33334.73,8992.8,273.9500000000007
20-Apr-2020,9390.2,9390.85,9230.8,9261.85,726364699,28620.91,9266.75,-4.899999999999636
21-Apr-2020,9016.95,9044.4,8909.4,8981.45,655122903,28273.89,9261.85,-280.39999999999964
22-Apr-2020,9026.75,9209.75,8946.25,9187.3,734383388,33981.82,8981.45,205.84999999999854
23-Apr-2020,9232.35,9343.6,9170.15,9313.9,666650462,30270.55,9187.3,126.60000000000036
24-Apr-2020,9163.9,9296.9,9141.3,9154.4,659439249,32859.05,9313.9,-159.5
27-Apr-2020,9259.7,9377.1,9250.35,9282.3,512793298,26696.54,9154.4,127.89999999999964
